City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Vardo,NO,70.3705,31.1107,32.94,99,100,12.46,snow
212,Korem,ET,12.5058,39.5228,61.02,49,56,4.72,broken clouds
213,Longyearbyen,SJ,78.2186,15.6401,28.24,80,75,6.91,light snow
214,Non Sang,TH,16.8687,102.5664,85.14,42,3,4.61,clear sky
215,Atambua,ID,-9.1061,124.8925,74.23,86,100,2.82,overcast clouds
216,Zhanaozen,KZ,43.3,52.8,54.97,44,93,17.09,overcast clouds
217,Moron,AR,-34.6534,-58.6198,68.95,65,0,6.15,clear sky
218,Ayagoz,KZ,47.9714,80.4392,42.46,28,0,7.0,clear sky
219,Sao Filipe,CV,14.8961,-24.4956,71.69,76,8,7.61,clear sky
220,Tomohon,ID,1.3346,124.8392,68.94,94,99,1.66,overcast clouds
221,Auki,SB,-8.7676,160.7034,77.41,84,100,1.34,overcast clouds
222,Northam,GB,51.0333,-4.2167,53.62,91,77,1.63,broken clouds
223,Marsh Harbour,BS,26.5412,-77.0636,70.23,91,100,10.51,moderate rain
224,Elat,IL,29.5581,34.9482,71.33,37,16,8.19,few clouds
225,Lakatoro,VU,-16.0999,167.4164,80.26,78,57,2.48,broken clouds
226,Caceres,ES,39.522,-6.3748,63.3,56,54,3.27,broken clouds
227,Fortuna,US,40.5982,-124.1573,51.93,64,0,8.05,clear sky
228,Mahibadhoo,MV,3.7833,72.9667,84.09,73,82,6.76,broken clouds
229,Tuatapere,NZ,-46.1333,167.6833,52.45,78,77,16.28,broken clouds
230,Amga,RU,60.8953,131.9608,16.79,97,100,2.98,overcast clouds
231,Shirokiy,RU,49.758,129.523,32.65,86,98,8.52,overcast clouds
232,Mason City,US,43.1536,-93.201,39.45,49,0,13.8,clear sky
233,Meadow Lake,US,34.8014,-106.5436,75.67,4,0,21.16,clear sky
234,Molo,KE,-0.2479,35.7374,55.94,63,100,1.74,overcast clouds
235,Morondava,MG,-20.2833,44.2833,81.09,77,0,9.37,clear sky
236,Luang Prabang,LA,19.8856,102.1347,76.48,56,10,1.77,clear sky
237,Lorengau,PG,-2.0226,147.2712,80.82,79,55,4.29,broken clouds
